This input method allows to type Cyrillic characters by simulating a
cyrillic keyboard layout on top of a qwerty keyboard. If your keyboard does
not havec a qwerty layout, too bad, you can still use this input method, but
the layout will not be the same as on a cyrillic keyboard. Here is the
correspondance table between input keys and cyrillic characters.

[@]	"	U+0022	QUOTATION MARK
[$]	%	U+0025	PERCENT SIGN
[^]	,	U+002C	COMMA
[&]	.	U+002E	FULL STOP
[%]	:	U+003A	COLON
[*]	;	U+003B	SEMICOLON
[?]	Ё	U+0401	CYRILLIC CAPITAL LETTER IO
[F]	А	U+0410	CYRILLIC CAPITAL LETTER A
[<]	Б	U+0411	CYRILLIC CAPITAL LETTER BE
[D]	В	U+0412	CYRILLIC CAPITAL LETTER VE
[U]	Г	U+0413	CYRILLIC CAPITAL LETTER GHE
[L]	Д	U+0414	CYRILLIC CAPITAL LETTER DE
[T]	Е	U+0415	CYRILLIC CAPITAL LETTER IE
[:]	Ж	U+0416	CYRILLIC CAPITAL LETTER ZHE
[P]	З	U+0417	CYRILLIC CAPITAL LETTER ZE
[B]	И	U+0418	CYRILLIC CAPITAL LETTER I
[Q]	Й	U+0419	CYRILLIC CAPITAL LETTER SHORT I
[R]	К	U+041A	CYRILLIC CAPITAL LETTER KA
[K]	Л	U+041B	CYRILLIC CAPITAL LETTER EL
[V]	М	U+041C	CYRILLIC CAPITAL LETTER EM
[Y]	Н	U+041D	CYRILLIC CAPITAL LETTER EN
[J]	О	U+041E	CYRILLIC CAPITAL LETTER O
[G]	П	U+041F	CYRILLIC CAPITAL LETTER PE
[H]	Р	U+0420	CYRILLIC CAPITAL LETTER ER
[C]	С	U+0421	CYRILLIC CAPITAL LETTER ES
[N]	Т	U+0422	CYRILLIC CAPITAL LETTER TE
[E]	У	U+0423	CYRILLIC CAPITAL LETTER U
[A]	Ф	U+0424	CYRILLIC CAPITAL LETTER EF
[{]	Х	U+0425	CYRILLIC CAPITAL LETTER HA
[W]	Ц	U+0426	CYRILLIC CAPITAL LETTER TSE
[X]	Ч	U+0427	CYRILLIC CAPITAL LETTER CHE
[I]	Ш	U+0428	CYRILLIC CAPITAL LETTER SHA
[O]	Щ	U+0429	CYRILLIC CAPITAL LETTER SHCHA
[}]	Ъ	U+042A	CYRILLIC CAPITAL LETTER HARD SIGN
[S]	Ы	U+042B	CYRILLIC CAPITAL LETTER YERU
[M]	Ь	U+042C	CYRILLIC CAPITAL LETTER SOFT SIGN
["]	Э	U+042D	CYRILLIC CAPITAL LETTER E
[>]	Ю	U+042E	CYRILLIC CAPITAL LETTER YU
[Z]	Я	U+042F	CYRILLIC CAPITAL LETTER YA
[f]	а	U+0430	CYRILLIC SMALL LETTER A
[,]	б	U+0431	CYRILLIC SMALL LETTER BE
[d]	в	U+0432	CYRILLIC SMALL LETTER VE
[u]	г	U+0433	CYRILLIC SMALL LETTER GHE
[l]	д	U+0434	CYRILLIC SMALL LETTER DE
[t]	е	U+0435	CYRILLIC SMALL LETTER IE
[;]	ж	U+0436	CYRILLIC SMALL LETTER ZHE
[p]	з	U+0437	CYRILLIC SMALL LETTER ZE
[b]	и	U+0438	CYRILLIC SMALL LETTER I
[q]	й	U+0439	CYRILLIC SMALL LETTER SHORT I
[r]	к	U+043A	CYRILLIC SMALL LETTER KA
[k]	л	U+043B	CYRILLIC SMALL LETTER EL
[v]	м	U+043C	CYRILLIC SMALL LETTER EM
[y]	н	U+043D	CYRILLIC SMALL LETTER EN
[j]	о	U+043E	CYRILLIC SMALL LETTER O
[g]	п	U+043F	CYRILLIC SMALL LETTER PE
[h]	р	U+0440	CYRILLIC SMALL LETTER ER
[c]	с	U+0441	CYRILLIC SMALL LETTER ES
[n]	т	U+0442	CYRILLIC SMALL LETTER TE
[e]	у	U+0443	CYRILLIC SMALL LETTER U
[a]	ф	U+0444	CYRILLIC SMALL LETTER EF
[[]	х	U+0445	CYRILLIC SMALL LETTER HA
[w]	ц	U+0446	CYRILLIC SMALL LETTER TSE
[x]	ч	U+0447	CYRILLIC SMALL LETTER CHE
[i]	ш	U+0448	CYRILLIC SMALL LETTER SHA
[o]	щ	U+0449	CYRILLIC SMALL LETTER SHCHA
[]]	ъ	U+044A	CYRILLIC SMALL LETTER HARD SIGN
[s]	ы	U+044B	CYRILLIC SMALL LETTER YERU
[m]	ь	U+044C	CYRILLIC SMALL LETTER SOFT SIGN
[']	э	U+044D	CYRILLIC SMALL LETTER E
[.]	ю	U+044E	CYRILLIC SMALL LETTER YU
[z]	я	U+044F	CYRILLIC SMALL LETTER YA
[/]	ё	U+0451	CYRILLIC SMALL LETTER IO
[#]	№	U+2116	NUMERO SIGN
