This input method allows to type Hebrew characters. I do not know if it
corresponds to any commonly used layout, but I had the data ant it may be
useful. Here is the correspondance table between input keys and Hebrew
characters.

[']	,	U+002C	COMMA
[,]	ת	U+05EA	HEBREW LETTER TAV
[.]	ץ	U+05E5	HEBREW LETTER FINAL TSADI
[/]	/	U+002F	SOLIDUS
[;]	ף	U+05E3	HEBREW LETTER FINAL PE
[`]	;	U+003B	SEMICOLON
[a]	ש	U+05E9	HEBREW LETTER SHIN
[b]	נ	U+05E0	HEBREW LETTER NUN
[c]	ב	U+05D1	HEBREW LETTER BET
[d]	ג	U+05D2	HEBREW LETTER GIMEL
[e]	ק	U+05E7	HEBREW LETTER QOF
[f]	כ	U+05DB	HEBREW LETTER KAF
[g]	ע	U+05E2	HEBREW LETTER AYIN
[h]	י	U+05D9	HEBREW LETTER YOD
[i]	ן	U+05DF	HEBREW LETTER FINAL NUN
[j]	ח	U+05D7	HEBREW LETTER HET
[k]	ל	U+05DC	HEBREW LETTER LAMED
[l]	ך	U+05DA	HEBREW LETTER FINAL KAF
[m]	צ	U+05E6	HEBREW LETTER TSADI
[n]	מ	U+05DE	HEBREW LETTER MEM
[o]	ם	U+05DD	HEBREW LETTER FINAL MEM
[p]	פ	U+05E4	HEBREW LETTER PE
[q]	/	U+002F	SOLIDUS
[r]	ר	U+05E8	HEBREW LETTER RESH
[s]	ד	U+05D3	HEBREW LETTER DALET
[t]	א	U+05D0	HEBREW LETTER ALEF
[u]	ו	U+05D5	HEBREW LETTER VAV
[v]	ה	U+05D4	HEBREW LETTER HE
[w]	'	U+0027	APOSTROPHE
[x]	ס	U+05E1	HEBREW LETTER SAMEKH
[y]	ט	U+05D8	HEBREW LETTER TET
[z]	ז	U+05D6	HEBREW LETTER ZAYIN
