This input method allows to type latin characters using a compose key. You
must define a compose key using the macro directive in the termimrc key. By
example if you want ^K as the compose key (like Vim digraph key), you must
write:

	key "\x0B" macro compose

You type characters by first typing the compose key, then a sequence of
others keys. By example if ^K is the compose key, and you want to type the
'©' character, you must type first ^K, then c and then o. The table of
available compose esquences is here.

Compose [+] [+]		#	U+0023	NUMBER SIGN
Compose [ ] [']		'	U+0027	APOSTROPHE
Compose ['] [ ]		'	U+0027	APOSTROPHE
Compose [A] [A]		@	U+0040	COMMERCIAL AT
Compose [(] [(]		[	U+005B	LEFT SQUARE BRACKET
Compose [/] [/]		\	U+005C	REVERSE SOLIDUS
Compose [/] [<]		\	U+005C	REVERSE SOLIDUS
Compose [<] [/]		\	U+005C	REVERSE SOLIDUS
Compose [)] [)]		]	U+005D	RIGHT SQUARE BRACKET
Compose [ ] [>]		^	U+005E	CIRCUMFLEX ACCENT
Compose [ ] [^]		^	U+005E	CIRCUMFLEX ACCENT
Compose [>] [ ]		^	U+005E	CIRCUMFLEX ACCENT
Compose [^] [ ]		^	U+005E	CIRCUMFLEX ACCENT
Compose [ ] [`]		`	U+0060	GRAVE ACCENT
Compose [`] [ ]		`	U+0060	GRAVE ACCENT
Compose [(] [-]		{	U+007B	LEFT CURLY BRACKET
Compose [-] [(]		{	U+007B	LEFT CURLY BRACKET
Compose [/] [^]		|	U+007C	VERTICAL LINE
Compose [L] [V]		|	U+007C	VERTICAL LINE
Compose [V] [L]		|	U+007C	VERTICAL LINE
Compose [^] [/]		|	U+007C	VERTICAL LINE
Compose [l] [v]		|	U+007C	VERTICAL LINE
Compose [v] [l]		|	U+007C	VERTICAL LINE
Compose [)] [-]		}	U+007D	RIGHT CURLY BRACKET
Compose [-] [)]		}	U+007D	RIGHT CURLY BRACKET
Compose [ ] [-]		~	U+007E	TILDE
Compose [ ] [~]		~	U+007E	TILDE
Compose [-] [ ]		~	U+007E	TILDE
Compose [~] [ ]		~	U+007E	TILDE
Compose [ ] [ ]		 	U+00A0	NO-BREAK SPACE
Compose [!] [!]		¡	U+00A1	INVERTED EXCLAMATION MARK
Compose [/] [C]		¢	U+00A2	CENT SIGN
Compose [/] [c]		¢	U+00A2	CENT SIGN
Compose [C] [/]		¢	U+00A2	CENT SIGN
Compose [C] [|]		¢	U+00A2	CENT SIGN
Compose [c] [/]		¢	U+00A2	CENT SIGN
Compose [c] [|]		¢	U+00A2	CENT SIGN
Compose [|] [C]		¢	U+00A2	CENT SIGN
Compose [|] [c]		¢	U+00A2	CENT SIGN
Compose [-] [L]		£	U+00A3	POUND SIGN
Compose [-] [l]		£	U+00A3	POUND SIGN
Compose [=] [L]		£	U+00A3	POUND SIGN
Compose [=] [l]		£	U+00A3	POUND SIGN
Compose [L] [-]		£	U+00A3	POUND SIGN
Compose [L] [=]		£	U+00A3	POUND SIGN
Compose [l] [-]		£	U+00A3	POUND SIGN
Compose [l] [=]		£	U+00A3	POUND SIGN
Compose [0] [X]		¤	U+00A4	CURRENCY SIGN
Compose [0] [x]		¤	U+00A4	CURRENCY SIGN
Compose [O] [X]		¤	U+00A4	CURRENCY SIGN
Compose [O] [x]		¤	U+00A4	CURRENCY SIGN
Compose [X] [0]		¤	U+00A4	CURRENCY SIGN
Compose [X] [O]		¤	U+00A4	CURRENCY SIGN
Compose [X] [o]		¤	U+00A4	CURRENCY SIGN
Compose [o] [X]		¤	U+00A4	CURRENCY SIGN
Compose [o] [x]		¤	U+00A4	CURRENCY SIGN
Compose [x] [0]		¤	U+00A4	CURRENCY SIGN
Compose [x] [O]		¤	U+00A4	CURRENCY SIGN
Compose [x] [o]		¤	U+00A4	CURRENCY SIGN
Compose [-] [Y]		¥	U+00A5	YEN SIGN
Compose [-] [y]		¥	U+00A5	YEN SIGN
Compose [=] [Y]		¥	U+00A5	YEN SIGN
Compose [=] [y]		¥	U+00A5	YEN SIGN
Compose [Y] [-]		¥	U+00A5	YEN SIGN
Compose [Y] [=]		¥	U+00A5	YEN SIGN
Compose [y] [-]		¥	U+00A5	YEN SIGN
Compose [y] [=]		¥	U+00A5	YEN SIGN
Compose [!] [^]		¦	U+00A6	BROKEN BAR
Compose [B] [V]		¦	U+00A6	BROKEN BAR
Compose [V] [B]		¦	U+00A6	BROKEN BAR
Compose [^] [!]		¦	U+00A6	BROKEN BAR
Compose [b] [v]		¦	U+00A6	BROKEN BAR
Compose [v] [b]		¦	U+00A6	BROKEN BAR
Compose [|] [|]		¦	U+00A6	BROKEN BAR
Compose [!] [S]		§	U+00A7	SECTION SIGN
Compose [!] [s]		§	U+00A7	SECTION SIGN
Compose [0] [S]		§	U+00A7	SECTION SIGN
Compose [0] [s]		§	U+00A7	SECTION SIGN
Compose [O] [S]		§	U+00A7	SECTION SIGN
Compose [S] [!]		§	U+00A7	SECTION SIGN
Compose [S] [0]		§	U+00A7	SECTION SIGN
Compose [S] [O]		§	U+00A7	SECTION SIGN
Compose [o] [s]		§	U+00A7	SECTION SIGN
Compose [s] [!]		§	U+00A7	SECTION SIGN
Compose [s] [0]		§	U+00A7	SECTION SIGN
Compose [s] [o]		§	U+00A7	SECTION SIGN
Compose ["] ["]		¨	U+00A8	DIAERESIS
Compose [0] [C]		©	U+00A9	COPYRIGHT SIGN
Compose [0] [c]		©	U+00A9	COPYRIGHT SIGN
Compose [C] [0]		©	U+00A9	COPYRIGHT SIGN
Compose [C] [O]		©	U+00A9	COPYRIGHT SIGN
Compose [C] [o]		©	U+00A9	COPYRIGHT SIGN
Compose [O] [C]		©	U+00A9	COPYRIGHT SIGN
Compose [O] [c]		©	U+00A9	COPYRIGHT SIGN
Compose [c] [0]		©	U+00A9	COPYRIGHT SIGN
Compose [c] [O]		©	U+00A9	COPYRIGHT SIGN
Compose [c] [o]		©	U+00A9	COPYRIGHT SIGN
Compose [o] [C]		©	U+00A9	COPYRIGHT SIGN
Compose [o] [c]		©	U+00A9	COPYRIGHT SIGN
Compose [-] [A]		ª	U+00AA	FEMININE ORDINAL INDICATOR
Compose [-] [a]		ª	U+00AA	FEMININE ORDINAL INDICATOR
Compose [A] [-]		ª	U+00AA	FEMININE ORDINAL INDICATOR
Compose [a] [-]		ª	U+00AA	FEMININE ORDINAL INDICATOR
Compose [<] [<]		«	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
Compose [,] [-]		¬	U+00AC	NOT SIGN
Compose [-] [,]		¬	U+00AC	NOT SIGN
Compose [-] [-]		­	U+00AD	SOFT HYPHEN
Compose [O] [R]		®	U+00AE	REGISTERED SIGN
Compose [R] [O]		®	U+00AE	REGISTERED SIGN
Compose [-] [^]		¯	U+00AF	MACRON
Compose [^] [-]		¯	U+00AF	MACRON
Compose [^] [_]		¯	U+00AF	MACRON
Compose [_] [^]		¯	U+00AF	MACRON
Compose [_] [_]		¯	U+00AF	MACRON
Compose [*] [0]		°	U+00B0	DEGREE SIGN
Compose [0] [*]		°	U+00B0	DEGREE SIGN
Compose [0] [O]		°	U+00B0	DEGREE SIGN
Compose [0] [^]		°	U+00B0	DEGREE SIGN
Compose [^] [0]		°	U+00B0	DEGREE SIGN
Compose [o] [o]		°	U+00B0	DEGREE SIGN
Compose [+] [-]		±	U+00B1	PLUS-MINUS SIGN
Compose [-] [+]		±	U+00B1	PLUS-MINUS SIGN
Compose [2] [S]		²	U+00B2	SUPERSCRIPT TWO
Compose [2] [^]		²	U+00B2	SUPERSCRIPT TWO
Compose [2] [s]		²	U+00B2	SUPERSCRIPT TWO
Compose [S] [2]		²	U+00B2	SUPERSCRIPT TWO
Compose [^] [2]		²	U+00B2	SUPERSCRIPT TWO
Compose [s] [2]		²	U+00B2	SUPERSCRIPT TWO
Compose [3] [S]		³	U+00B3	SUPERSCRIPT THREE
Compose [3] [^]		³	U+00B3	SUPERSCRIPT THREE
Compose [3] [s]		³	U+00B3	SUPERSCRIPT THREE
Compose [S] [3]		³	U+00B3	SUPERSCRIPT THREE
Compose [^] [3]		³	U+00B3	SUPERSCRIPT THREE
Compose [s] [3]		³	U+00B3	SUPERSCRIPT THREE
Compose ['] [']		´	U+00B4	ACUTE ACCENT
Compose [/] [U]		µ	U+00B5	MICRO SIGN
Compose [/] [u]		µ	U+00B5	MICRO SIGN
Compose [U] [/]		µ	U+00B5	MICRO SIGN
Compose [u] [/]		µ	U+00B5	MICRO SIGN
Compose [!] [P]		¶	U+00B6	PILCROW SIGN
Compose [!] [p]		¶	U+00B6	PILCROW SIGN
Compose [P] [!]		¶	U+00B6	PILCROW SIGN
Compose [p] [!]		¶	U+00B6	PILCROW SIGN
Compose [.] [.]		·	U+00B7	MIDDLE DOT
Compose [.] [^]		·	U+00B7	MIDDLE DOT
Compose [^] [.]		·	U+00B7	MIDDLE DOT
Compose [,] [,]		¸	U+00B8	CEDILLA
Compose [1] [S]		¹	U+00B9	SUPERSCRIPT ONE
Compose [1] [^]		¹	U+00B9	SUPERSCRIPT ONE
Compose [1] [s]		¹	U+00B9	SUPERSCRIPT ONE
